epoch,timestamp,sampler_mmd,sampler_ebm_mmd
1000,101.86239767074585,0.009572041220963001,0.010334381833672523
2000,196.248690366745,0.005400883965194225,0.0049788979813456535
3000,323.5182490348816,0.005802241154015064,0.004928171634674072
4000,459.45435667037964,0.005173361394554377,0.00418032705783844
5000,595.4243860244751,0.006494394037872553,0.005442580673843622
6000,731.5182137489319,0.00512306671589613,0.004364111926406622
7000,866.729578256607,0.004648298025131226,0.003962916322052479
8000,965.3252742290497,0.004000169225037098,0.0035263062454760075
9000,1062.0524771213531,0.0034238784573972225,0.0031227588187903166
10000,1155.632310628891,0.0031950592529028654,0.002935010241344571
